Begin date:   1960 , End date:  , 2015
Well,                  ME,     MAPE,     RMSE,       R2
373338113431502,   -0.143,    0.034,    2.317,    5.369
373419113434201,    0.184,    0.036,    2.365,    5.595
373527113415101,    1.963,    0.109,    7.107,   50.513
373644113411501,    0.958,    0.048,    3.324,   11.051
373735113393801,    0.672,    0.055,    3.419,   11.690
373854113411501,    0.926,    0.046,    3.164,   10.009
374020113343101,    0.497,    0.028,    1.849,    3.417
374041113373501,    0.381,    0.022,    1.495,    2.235
374053113415101,   -0.081,    0.039,    2.418,    5.847
374228113420101,    0.183,    0.032,    2.101,    4.416
374252113385801,    0.115,    0.034,    2.296,    5.272
374319113415201,    0.558,    0.024,    1.561,    2.437
374344113322403,    0.101,    0.021,    1.387,    1.923
374411113305101,    0.257,    0.027,    2.052,    4.212
374445113444501,   -0.071,    0.019,    1.221,    1.492
374503113313701,   -0.603,    0.034,    2.361,    5.573
374505113433701,    0.196,    0.024,    1.547,    2.393
374649113310201,    0.184,    0.016,    1.019,    1.039
374649113342501,   -0.112,    0.014,    0.882,    0.777
374649113444801,   -0.298,    0.020,    1.415,    2.004
374808113420301,   -0.154,    0.017,    1.087,    1.180
374833113402401,   -0.268,    0.021,    1.347,    1.814
375324113345301,   -0.154,    0.011,    0.727,    0.529
375429113403901,   -0.023,    0.005,    0.355,    0.126
375531113361901,    0.012,    0.005,    0.307,    0.094
